paper_id;author_id;author_sequence_number
72953241;2622092922;1
72953241;2689512569;2
73285738;2141708087;1
73285738;2480667609;2
73593153;1991559784;1
73593153;2158935544;2
73829092;45124013;2
73829092;2431320518;1
73829092;2431320518;1
73829092;2632438226;3
74220513;291081294;1
74220513;2087808894;3
74220513;2100324971;2
74220513;2113332747;8
74220513;2558921914;5
74220513;2633004153;4
74220513;2698075467;6
74220513;2881911397;7
74224785;729957853;1
74277147;2152596491;2
74277147;2661911287;1
74670350;25845525;2
74670350;292299716;1
74670350;2136401455;3
74708109;2133068152;1
74708109;2894208757;3
74767194;2108742008;1
75522673;46709498;1
75522673;2040291945;3
75522673;2149662700;2
75522673;2251226959;4
75522673;2262400240;5
76414954;2513552330;1
76414954;2716189708;2
78384187;2295848789;2
78384187;2572962933;1
80243821;1960462161;1
80697461;285941746;2
80697461;2040606424;1
80697461;2227197689;3
80834164;2810429594;1
80850298;2292510047;1
81439440;287493768;7
81439440;1102271761;5
81439440;2003927988;1
81439440;2088352447;6
81439440;2109020386;3
81439440;2150234485;4
81439440;2162945618;2
81439440;2797399798;8
81439440;2894291197;9
81621907;2102726081;1
81733881;1972571331;2
81886837;2128458512;2
81886837;2171310226;3
81886837;2189802731;1
82343351;2126680986;1
83120755;2425097233;1
84196737;2493290874;1
84196737;2498184511;2
84256395;2807204258;1
85171054;2132849971;3
85171054;2162237831;1
85171054;2306858700;2
85381022;2494433743;1
85602088;2477061947;1
86771002;2639264096;1
87153718;989270;3
87153718;2123869012;2
87153718;2303735815;1
88260749;2088543067;4
88260749;2157580072;1
88260749;2551615280;3
88260749;2611336191;2
88798149;1991380867;4
88798149;2020641715;2
88798149;2063125263;3
88798149;2125488659;1
90458302;2805313853;1
90473016;2657176174;1
90751619;2496530325;1
92066914;2114366007;1
92066914;2128938310;2
92066914;2155384923;4
92066914;2479203976;3
92267567;2699870675;1
92775198;2233871610;1
92898844;2805826900;1
92898844;2806403374;2
93474571;2106673240;1
93474571;2140568129;4
93474571;2155207132;5
93474571;2162499291;3
93474571;2685889916;2
93496393;2148412793;1
93623743;2419419727;3
93623743;2702609849;2
93623743;2720115145;1
93778530;1976783848;4
93778530;2119451052;1
93778530;2127025874;2
93778530;2171445929;3
93778530;2899474742;5
93851521;2012088198;1
93851521;2230720420;2
93877560;2157392905;1
94323680;2682101391;1
96724541;2001556223;1
97627123;2565399957;1
98614279;2230041056;2
98614279;2474463415;1
101125353;2096621909;1
101125353;2654919592;3
101125353;2661297562;2
101727006;2102316355;2
101727006;2141916021;1
103455641;2107957893;1
103623016;722911409;2
103623016;2164051251;1
103831028;2026695443;1
103831028;2060217808;3
103831028;2144568434;4
103831028;2152632774;2
104039561;162790254;3
104039561;2106994032;2
